text,language,split
"Shadow fue creado para el espionaje, la vigilancia y reconocimiento tácticos, además de agente especial para misiones secretas de alto riesgo . Para capturarlo, fueron necesarios 18 meses de intensa búsqueda para encontrarlo y 20 unidades del CDF para contenerlo, pudiendo ser detenido únicamente gracias a la intervención del Capitán Magnum para incapacitarlo y capturarlo. Después de examinarlo y hacer muchas pruebas, el resultado del programa de rehabilitación fue un 99,97% de fiabilidad. El General lo posee en la batalla final para atacar a Magnum y Marty, pero vuelve en sí tras un breve pero emotivo discurso de este último.",spa,train
住宅展示場のモデルハウスに1年間住むとその家と土地をもらえることになったサラリーマン一家の家族崩壊を描いた物語。不動産会社の企画に応募して見事にその権利を射止めた木戸周平とその一家はモデルハウスに住むことになるが、不動産会社の広告として、その監督のもと「理想の家族」を毎日やってくる他人の見学者の前で演じる羽目になる。しかも日曜日には大勢の見学者の前で決められた台本の通りの台詞と共に食事しなければならない。さらには近所や仕事仲間からの羨望とねたみ、子供たちへのいじめが重なり、家族はだんだんストレスがたまっていく。ある日周平は日曜の食卓で「こんなの、砂の上のロビンソン・クルーソーみたいだよ」と台本に無い台詞を吐いた後、衆目の面前で家を出て行き、そのまま失踪してしまう。数日後、非行グループに加担した次男は毎晩ホームレスを襲撃して楽しんでいたが、負傷したホームレスにとどめを刺そうと凶器を振り上げた目の前で必死にかばった別のホームレスは、変わり果てた父親の周平だった。,jpn,train
1906년(광무 9년) 귀국한 뒤 일본의 후원으로 특별히 채용되어 관리가 되었다. 그는 이토 히로부미와 하세가와 요시미치(長谷川好道) 등의 후원으로 이례적으로 출세하였다. 그는 주소지를 한성부 남서(南署) 죽동(竹洞) 62통 12호 1반으로 주소지를 옮기고 탁지부에 신고하였다. 당시 그가 신고한 주소지는 대한제국 관원이력에 등재되었다. 이후 1907년 그는 한성부 서서(西署) 서소문내 내천동(內泉洞)으로 주소지를 옮겼다가 다시 1910년 경성 서부 황화방(皇華坊) 서소문내계(西小門內契) 정동(貞洞) 11의 1번지로 다시 주소지를 옮겼다. 1906년 6월 그는 한때 '협잡으로 인해 면관되어 일시 경무청에 체포되었다'고 한다. 이때 선진위생정책에 해밝은 민원식을 눈여겨 본 내장원경 이명직 대감의 발탁으로 1906년(고종 9년) 7월 내부 서기(內部 書記)에 임명되었다가 같은 달 27일 탁지부 서무과 주사(度支部 庶務課 主事) 판임관7급(判任官七級)으로 승진했다. 8월 이토 히로부미(伊藤博文)의 후견으로 내부 위생과장에 발탁되고 9월 30일 군수로 전임된 이규삼(李圭三)의 후임으로 내부 참서관 주임관 4등으로 내정되었다.,kor,train
"PC Magazine has praised Google as among the Top 100 Web Sites and Search Engines (1998) and awarded Google the Technical Excellence Award for Innovation in Web Application Development in 1999. In 2000, Google earned a Webby Award, a People's Voice Award for technical achievement, and in 2001, was awarded Outstanding Search Service, Best Image Search Engine, Best Design, Most Webmaster Friendly Search Engine, and Best Search Feature at the Search Engine Watch Awards."" In 2002, Page was named a World Economic Forum Global Leader for Tomorrow and along with Brin, was named by the Massachusetts Institute of Technology (MIT)'s Technology Review publication as one of the top 100 innovators in the world under the age of 35, as part of its yearly TR100 listing (changed to ""TR35"" after 2005).",eng,train
古罗马帝国称易北河为“阿尔比斯河”（Albis），他们试图征服易北河流域但没有成功。中世纪早期时易北河是查理曼帝國跟之後的東法蘭克王國的东部边界直到建立神聖羅馬帝國的薩克森王朝的奧托大帝征服現在的布蘭登堡附近的斯拉夫人（索布人）以後才把神聖羅馬帝國的東部邊界從原來的易北河推進到現今的德國波蘭邊界奧得河。第二次世界大战时，东线苏联军队包圍柏林后在易北河和西线美英联军会师。,zho,train
"Muñoz Rodríguez comenzó su carrera de profesor en 1971 en la Universidad Femenina de Guadalajara y en la Universidad de Guadalajara. En 1974, se convirtió profesor del IPN. En 1979, después de haber terminado su doctorado, se convirtió en profesor e investigador con el Centro de Investigación y Estudios Avanzados en el IPN, volviéndose el coordinador académico de comunicaciones y al mismo tiempo jefe de ese mismo departamento, así como del del departamento de ingeniería mecánica.[3]​",spa,train
1358年、シュヴェリーン郡は1348年に公爵に昇叙されたニクロトの子孫の物となり、その領土はメクレンブルク＝シュヴェリーン公国となった。彼らはすぐにヴィスマール近郊のメクレンブルクからシュヴェリーンに居を移した。この頃は後期ゴシック建築が流行していた頃で、公爵の地位の高まりと繁栄は、象徴となる城を必要とし、要塞住居の建築に変革をもたらした。この頃の司教邸宅（Bischofshaus）は、今もそのまま残っている。,jpn,train
ピザか、あるいは空飛ぶ円盤を思わせる独特なスタイルのこの宇宙船は、原案段階ではスリムな棒状の物でありプロップも製作されたが、監督のジョージ・ルーカスが納得せず（『スペース1999』のイーグル号に似ていたのが最大の不満だったらしい）幾度もの再デザインを繰り返した後、ルーカスがILMスタッフらとのランチで食べたピザを見て閃いたスケッチを元に決定された。機体背面に並ぶ円形の排気口（状のデザイン）に原案のピザの面影が見てとれる。またこの際、離陸後にコクピット以外が90度回転し、マンボウのようなスタイルで飛行する案が考えられていた。,jpn,train
"475年高句麗长寿王南扩占领百济旧都慰禮城（今首尔）。百济文周王再次迁都熊津。西元538年，百濟聖王將都城自熊津（今公州市）遷移至泗沘。660年 唐朝灭亡百济，并在百济故地建立设置了5个都督府：“熊津、马韩、东明、金涟、德安五都督府”，纳入唐王朝直接管理。但随着后来的百济复国运动，唐朝在665年把五个都督府统一合并为熊津都督府。罗唐战争后，唐朝最终退出朝鲜半岛。熊津被统一新罗并入版图之中,新罗在熊津州設置都督府。757年 - 改称熊川。高麗時改称公州。詳见「公州市」。",zho,train
『ルースカヤ・プラウダ』は、「ゲルマン法」に含まれる、ヨーロッパ早期の法令集（例えばフランク王国の『サリカ法典』や、5世紀 - 6世紀の『リプアーリ法典#(ru)』（ドイツ語: Lex Ripuaria）、『ブルグント法典#』など）に類似する点がある。さらに、「ビザンツ法」や、教会からの影響があるという説がある。Y・シチャポフ(ru)によれば、ノヴゴロドでは『ルースカヤ・プラウダ』は、教会裁判において世俗的な事件に関して履行されたという。,jpn,train
