text,language,split
另外收錄三首賽德克歌曲，包括片尾主題曲《看見彩虹》是由賽德克族原民歌手，亦是片中演員拉卡·巫茂（阿飛）負責詞曲創作並擔任配唱製作人；在導演魏德聖要求下，該曲及另一首合唱曲《仇恨消失》最後均由所有主要演員通力合唱完成。其次，由泰雅族女聲阿穆依·穌路負責清唱長達10分鐘的片中曲《賽德克·巴萊》，也實現魏導設想的意境，猶如母親婉約的歌唱聲，充滿勸告族人不要再殺人的幽遠意境。,zho,train
1859年出版的《物種起源》，使起源於共同祖先的演化，成為對自然界多樣性的一項重要科學解釋。之後達爾文《人類與動物的情感表達》以及《人類由來與性擇》中，闡釋人類的演化與性選擇的作用。他也針對植物研究發表了一系列的書籍，在最後一本著作中，達爾文討論了蚯蚓對土壤的影響。為了表彰他傑出成就，達爾文死後安葬於牛頓與約翰·赫歇爾的墓旁，地點就在英國倫敦的西敏寺。,zho,test
"Roissy-en-France appartenait historiquement au canton de Gonesse. Dans le cadre du redécoupage cantonal de 2014 en France, la commune fait désormais partie du canton de Villiers-le-Bel.",fra,train
"En Angleterre, Laurent bénéfice de toute la confiance du manager Bobby Robson, qui fait de lui une pièce maitresse de son équipe type. Les saisons suivantes sont plus mitigées et l'arrivée de l'entraîneur Graeme Souness pousse Laurent Robert vers la sortie. Prêté à Portsmouth FC (où il côtoie l'entraîneur français Alain Perrin) durant l'été 2005, il est transféré en janvier 2006 au Benfica Lisbonne. À la fin de la saison 2005-2006 il quitte Benfica pour le club espagnol de Levante. Malgré un nombre important de français dans l'effectif du club espagnol, il ne parvient pas à s'intégrer et à s'imposer dans le onze type et suit même les matchs depuis les tribunes. En novembre 2007, d'un commun accord avec son club espagnol, il met fin à son contrat. Libre, il signe à Derby County (Premier League anglaise) le 8 janvier 2008. Mais quelques mois plus tard, il rejoint le club canadien de Toronto afin de participer à la saison 2008 de la Major League Soccer. Le 20 août 2008, le Toronto FC le libère de son contrat et il signe quelques jours après avec le club grec de Larissa.",fra,test
1914年，進入西敏公學。1918年，哈羅德志願從軍，加入炮兵，參與第一次世界大戰。隨著戰爭結束，1919年，哈羅德就讀於牛津大学新学院。1921年，完成古典文學（Literae Humaniores）本科教育。1922年，在牛津大學完成現代史課程。同時，他也在劍橋大學國王學院修習課程，在此認識凱恩斯。,zho,val
"Grabuge ! Dix réjouissantes façons de planter le système, en collaboration avec Aimable Jr, Benoît Delépine et Matthias Sanderson, Flammarion, 2002.",fra,train
(it) Cet article est partiellement ou en totalité issu de l’article de Wikipédia en italien intitulé « Museo Faina » (voir la liste des auteurs).,fra,train
"Ces différentes infrastructures à fort trafic ont un impact important en termes de pollution sonore, l'autoroute du Nord et la LGV Nord sont classées de catégorie 1 (la plus élevée) selon la réglementation et de nombreuses voies routières sont de catégorie 2. Néanmoins, les zones habitées ne sont pas directement affectées et le centre du village reste un lieu relativement calme sans nuisances significatives, comparativement aux communes rurales voisines.",fra,train
"Joan Aiken, née le 4 septembre 1924 à Rye dans le comté du Sussex de l'Est en Angleterre et morte le 4 janvier 2004 à Petworth dans le comté du Sussex de l'Ouest, est une écrivaine anglaise célèbre pour ses nombreux écrits pour l'enfance et la jeunesse. Elle est la fille du poète américain Conrad Aiken et a comme sœur la romancière Jane Aiken Hodge (en).",fra,train
"La possibilité s'offre à lui de faire carrière dans la milice canadienne. Un choix qu'il connaît bien, plusieurs des membres de sa famille en ayant fait partie. Il s'inscrit fin juin ou au début juillet 1865 à l’École militaire de Montréal. Admis comme simple soldat, il en sortira le 12 août 1865 avec un certificat lui permettant de commander un bataillon. Il sera intégré à une compagnie du 65e régiment, les Chasseurs canadiens, le seul corps militaire francophone à Montréal. Les lacunes de la troupe militaire sur le plan de l'organisation, le sentiment anti-francophonie qui y règne ainsi que l'absence de défi exaltant, le lassent assez rapidement. Car il se cherche avant tout « un champ de bataille ».",fra,train
"Aux quatre clubs qualifiés à la suite du quatrième tour se joignent les clubs professionnels éliminés en quarts de finale de la Coupe de France : Lens, Nice, le Red Star et Rouen.",fra,test
"Matrimonio consanguíneo: es un tipo de matrimonio arreglado endogámico.[33]​ Es uno donde la novia y el novio comparten un abuelo o antepasados cercano. Ejemplos de estos incluyen los matrimonios entre primos primeros, matrimonios tío-sobrina, matrimonios con primos segundos, y así sucesivamente. Los matrimonios consanguíneos más comunes son los matrimonios entre primos primeros, seguidos de los matrimonios con primos segundos y tío-sobrina. Este tipo de matrimonios arreglados son más comunes en las comunidades musulmanas del mundo. Entre el 25 y el 40% de todos los matrimonios en partes de Arabia Saudita y Pakistán son matrimonios entre primos primeros; mientras que globalmente los matrimonios consanguíneos arreglados exceden del 65 al 80% en varias regiones del Oriente Medio, África del Norte y Asia Central islámica.[34]​[35]​",spa,test
"En la temporada 2015/2016 se proclama campeón de la Copa del Rey con el Real Madrid y es elegido MVP de la final ante Gran Canaria tras terminar con 15 puntos, 6 rebotes y 23 de valoración, en lo que suponía su primer reconocimiento a nivel individual.[5]​",spa,train
ICF medalists for Olympic and World Championships – Part 1: flatwater (now sprint): 1936–2007 at WebCite (archived 2009-01-21). Additional archives: Wayback Machine (archived 2010-01-05).,eng,train
"2014年1月18日參與了「SNH48紅白歌會」，以微弱優勢戰勝S隊歌姬徐晨辰，成為當晚红白对抗賽N隊唯一的胜利。7月26日，於SNH48第一屆總選舉，獲得第4名，最終獲得10,145票，入選第一屆總選舉選拔組。11月上旬，由於被称為「4000年第一偶像」，而在日本網路上引發話題。後轉載至中國時，媒體誤譯為「4000年第一美女」，但也因此廣為人知。9月30日，代言SONY旗下Hi-Res AUDIO系列。12月31日，參加東方衛視2015年跨年盛典。",zho,test
"Kafru Bavakeh (Persian: كفروباوكه‎, also Romanized as Kafrū Bāvakeh; also known as Kafrū Bābākīyeh-e Şayyādī) is a village in Posht Tang Rural District, in the Central District of Sarpol-e Zahab County, Kermanshah Province, Iran. At the 2006 census, its population was 119, in 21 families.",eng,test
锦州市是中华人民共和国辽宁省下辖的地级市，是辽宁沿海的第二大城市。锦州是连接东北地区和华北地区的交通要冲，也是著名的松錦之戰、辽沈战役主战场之一。锦州主城区位于小凌河和女儿河的交汇处。沈山铁路和锦承铁路在市区穿过，南部有京哈铁路穿越。境内的主要公路有京沈高速、锦阜高速、锦朝高速以及102国道。锦州有辽代、明代建筑遗迹。矿产资源有石油、天然气、煤炭、石灰石、膨润土、萤石、花岗岩等。,zho,train
"István ha dirigido como árbitro en la NB1, Primera División de Arabia Saudita, Primera División de Egipto, Liga de Campeones de la UEFA, UEFA Europa League, Copa Intertoto, eliminatorias a la Eurocopa de 2012, también las eliminatorias al mundial de 2010 y varios partidos amistosos internacionales.",spa,train
"Noël Godin décida d'entarter le rappeur Doc Gynéco après que ce dernier a dit à Michel Polac lors d'une entrevue qu'il « n'avait pas de leçons à recevoir d'un malade au stade terminal », mais aussi parce que Gynéco est un soutien de Nicolas Sarkozy. En août 2007, Noël Godin est reçu à l'émission Village Départ diffusée en direct sur France 3 ; Doc Gynéco est aussi invité. Au moment où Godin prend sa place, des complices lancent quatre tartes à la figure de Doc Gynéco pendant que Godin s'exclame : « Entartons, entartons les sarkochiants couillons ! ». Des témoins rapportent que Gynéco, beau joueur en direct, fut très en colère dans les coulisses,,.",fra,train
"Le fichier BALSAC est développé depuis 40 ans à l’Université du Québec à Chicoutimi, en partenariat avec l’Université Laval, l’Université McGill et l’Université de Montréal. Les données proviennent de l’état civil. Elles rendent possible une utilisation exploitation pdans plusieurs champs disciplinaires tels que la génétique humaine, la démographie, la géographie, la sociologie et l’histoire. La première phase de construction du fichier fut consacrée à la population de la région du Saguenay-Lac-St-Jean. Environ 660 000 actes de baptême, de mariage et de sépulture enregistrés dans cette région de 1838 à 1971 ont été saisis et jumelés (Bouchard 2008). Le fichier BALSAC fut par la suite progressivement étendu à l’ensemble du territoire québécois, pour les XIXe et XXe siècles, en restreignant la saisie et le jumelage des données aux actes de mariage seulement, sauf pour quelques régions pour lesquelles les actes de baptême et de sépulture étaient déjà informatisés (Charlevoix et les Iles-de-la-Madeleine en partie). En 2016, la saisie et le jumelage de presque tous les actes de mariage de confession catholique du Québec de 1800 à 1940 (soit environ 1,25 million d’actes) est complétée.",fra,train
