text,language
"Hello, how are you today?",eng
"Learning languages is fun and rewarding.",eng
"This project uses Support Vector Machines.",eng
"Bonjour, comment allez-vous aujourd'hui ?",fra
"Apprendre plusieurs langues ouvre beaucoup de portes.",fra
"Ce modèle identifie la langue d'un texte court.",fra
"Hola, ¿cómo estás hoy?",spa
"Aprender idiomas es divertido y útil.",spa
"Este modelo intenta clasificar el idioma correctamente.",spa
"你好，今天過得怎麼樣？",zho
"學習語言既有趣又有成就感。",zho
"本項目使用了支援向量機。",zho
"こんにちは、今日はどうですか？",jpn
"複数の言語を学ぶことはとても役に立ちます。",jpn
"このプロジェクトではサポートベクターマシンを使っています。",jpn
"안녕하세요, 오늘 기분이 어떠신가요?",kor
"여러 언어를 배우는 일은 재미있고 유익합니다.",kor
"이 프로젝트는 서포트 벡터 머신을 사용합니다.",kor
"안녕하세요, 오늘은 어떻게 지내셨나요?",kor
